DATE,IGDSXEEZ18M086NEST
2000-12-01,90.90
2001-01-01,89.96
2001-02-01,89.75
2001-03-01,90.87
2001-04-01,91.35
2001-05-01,91.55
2001-06-01,91.53
2001-07-01,90.49
2001-08-01,90.59
2001-09-01,91.44
2001-10-01,92.03
2001-11-01,92.27
2001-12-01,92.32
2002-01-01,91.42
2002-02-01,91.36
2002-03-01,92.39
2002-04-01,92.90
2002-05-01,93.01
2002-06-01,92.91
2002-07-01,91.71
2002-08-01,91.72
2002-09-01,92.62
2002-10-01,93.16
2002-11-01,93.43
2002-12-01,93.42
2003-01-01,92.01
2003-02-01,92.04
2003-03-01,93.16
2003-04-01,93.67
2003-05-01,93.90
2003-06-01,93.70
2003-07-01,92.35
2003-08-01,92.27
2003-09-01,93.35
2003-10-01,93.93
2003-11-01,94.13
2003-12-01,94.06
2004-01-01,92.56
2004-02-01,92.75
2004-03-01,93.80
2004-04-01,94.54
2004-05-01,94.66
2004-06-01,94.53
2004-07-01,92.97
2004-08-01,93.07
2004-09-01,94.08
2004-10-01,94.68
2004-11-01,94.89
2004-12-01,94.75
2005-01-01,92.95
2005-02-01,92.90
2005-03-01,94.10
2005-04-01,94.81
2005-05-01,94.93
2005-06-01,94.72
2005-07-01,92.95
2005-08-01,93.01
2005-09-01,94.20
2005-10-01,94.93
2005-11-01,95.19
2005-12-01,95.08
2006-01-01,93.12
2006-02-01,93.10
2006-03-01,94.58
2006-04-01,95.38
2006-05-01,95.55
2006-06-01,95.37
2006-07-01,93.46
2006-08-01,93.53
2006-09-01,94.94
2006-10-01,95.63
2006-11-01,95.89
2006-12-01,95.85
2007-01-01,93.88
2007-02-01,94.09
2007-03-01,95.66
2007-04-01,96.35
2007-05-01,96.46
2007-06-01,96.24
2007-07-01,94.22
2007-08-01,94.37
2007-09-01,95.81
2007-10-01,96.58
2007-11-01,96.88
2007-12-01,96.77
2008-01-01,94.53
2008-02-01,94.81
2008-03-01,96.45
2008-04-01,97.06
2008-05-01,97.12
2008-06-01,96.95
2008-07-01,94.63
2008-08-01,95.04
2008-09-01,96.62
2008-10-01,97.46
2008-11-01,97.67
2008-12-01,97.50
2009-01-01,94.90
2009-02-01,95.39
2009-03-01,97.14
2009-04-01,97.78
2009-05-01,97.80
2009-06-01,97.50
2009-07-01,95.00
2009-08-01,95.50
2009-09-01,96.98
2009-10-01,97.71
2009-11-01,97.85
2009-12-01,97.84
2010-01-01,94.71
2010-02-01,95.19
2010-03-01,97.59
2010-04-01,98.13
2010-05-01,98.21
2010-06-01,97.99
2010-07-01,95.31
2010-08-01,95.72
2010-09-01,97.80
2010-10-01,98.48
2010-11-01,98.63
2010-12-01,98.48
2011-01-01,95.13
2011-02-01,95.20
2011-03-01,98.37
2011-04-01,99.10
2011-05-01,99.19
2011-06-01,98.88
2011-07-01,95.26
2011-08-01,95.71
2011-09-01,98.95
2011-10-01,99.71
2011-11-01,99.84
2011-12-01,99.62
2012-01-01,96.04
2012-02-01,96.21
2012-03-01,99.72
2012-04-01,100.39
2012-05-01,100.44
2012-06-01,100.15
2012-07-01,96.71
2012-08-01,96.75
2012-09-01,100.13
2012-10-01,100.79
2012-11-01,100.93
2012-12-01,100.66
2013-01-01,96.80
2013-02-01,96.99
2013-03-01,100.68
2013-04-01,101.23
2013-05-01,101.24
2013-06-01,100.89
2013-07-01,97.16
2013-08-01,97.18
2013-09-01,100.52
2013-10-01,101.11
2013-11-01,101.17
2013-12-01,100.90
2014-01-01,97.00
2014-02-01,97.40
2014-03-01,100.85
2014-04-01,101.30
2014-05-01,101.22
2014-06-01,100.82
2014-07-01,97.11
2014-08-01,97.48
2014-09-01,100.69
2014-10-01,101.03
2014-11-01,101.09
2014-12-01,100.86
2015-01-01,96.92
2015-02-01,97.30
2015-03-01,100.85
2015-04-01,101.44
2015-05-01,101.45
2015-06-01,101.12
2015-07-01,97.51
2015-08-01,97.85
2015-09-01,100.97
2015-10-01,101.62
2015-11-01,101.64
2015-12-01,101.34
2016-01-01,97.63
2016-02-01,97.98
2016-03-01,101.35
2016-04-01,101.96
2016-05-01,101.99
2016-06-01,101.51
2016-07-01,97.87
2016-08-01,98.17
2016-09-01,101.24
2016-10-01,101.88
2016-11-01,101.93
2016-12-01,101.64
2017-01-01,98.11
2017-02-01,98.13
2017-03-01,101.58
2017-04-01,102.18
2017-05-01,102.23
2017-06-01,101.85
2017-07-01,98.25
2017-08-01,98.53
2017-09-01,101.63
2017-10-01,102.12
2017-11-01,102.25
2017-12-01,102.03
2018-01-01,98.58
2018-02-01,98.54
2018-03-01,101.71
2018-04-01,102.39
2018-05-01,102.4
2018-06-01,102.11
2018-07-01,98.59
2018-08-01,98.74
2018-09-01,101.78
2018-10-01,102.37
2018-11-01,102.47
2018-12-01,102.28
2019-01-01,98.91
2019-02-01,98.9
2019-03-01,101.86
2019-04-01,102.62
2019-05-01,102.72
2019-06-01,102.38
2019-07-01,98.95
2019-08-01,99.09
2019-09-01,102.02
2019-10-01,102.65
2019-11-01,102.86
2019-12-01,102.73
2020-01-01,99.24
2020-02-01,99.42
2020-03-01,102.38
2020-04-01,102.95
2020-05-01,102.94
2020-06-01,102.57
2020-07-01,100.57
2020-08-01,98.94
2020-09-01,101.69
2020-10-01,102.54
2020-11-01,102.58
2020-12-01,102.18
2021-01-01,100.71
2021-02-01,100.47
2021-03-01,102.7
2021-04-01,103.4
2021-05-01,103.62
2021-06-01,103.74
2021-07-01,101.26
2021-08-01,101.48
2021-09-01,103.85
2021-10-01,104.6
2021-11-01,104.99
2021-12-01,105.12
2022-01-01,102.8
2022-02-01,103.55
2022-03-01,106.14
